2023-03-09 20:17:55,711	log_infos      	1040	INFO    	39412:	Explanation
#######################	###############	####	########	######	###########################################
YYYY-MM-DD HH:MM:SS,mmm	function name  	 lNr	level   	  PID:	Message (lNr: line number, PID: Process ID)
#######################	###############	####	########	######	###########################################

2023-03-09 20:20:07,972	analyse        	 111	DEBUG   	38676:	frame_width: 600
2023-03-09 20:20:07,972	select_tracks  	 555	DEBUG   	38676:	Have accepted string ./video/SIM+.avi
2023-03-09 20:20:07,993	select_tracks  	 620	DEBUG   	38676:	Starting to set NaNs
2023-03-09 20:20:08,005	select_tracks  	 654	DEBUG   	38676:	Dropping NaN values from df
2023-03-09 20:20:08,007	select_tracks  	 659	DEBUG   	38676:	Re-indexing
2023-03-09 20:20:08,007	select_tracks  	 674	INFO    	38676:	Tracks before initial cleanup: 144, after: 143, loss: 0.6944%, data frame entries before: 9177, after: 9082, loss: 1.0352%
2023-03-09 20:20:08,010	select_tracks  	 690	INFO    	38676:	Area quartiles: 10%: 4.00, 90%: 76.15
2023-03-09 20:20:08,018	select_tracks  	 705	INFO    	38676:	25/75 % Distance quartiles: 0.995, 4.241 upper outliers: 13.979 counts: 261, of all entries: 2.8738%
2023-03-09 20:20:08,019	select_tracks  	 723	DEBUG   	38676:	Starting with fine selection
2023-03-09 20:20:08,364	select_tracks  	 777	INFO    	38676:	All tracks before fine selection: 143, left over: 92, difference: 51
2023-03-09 20:20:08,364	select_tracks  	 797	INFO    	38676:	Total: 143; size < 600: 0; holes > 6: 0; distance outlier: 0; duration 5% over size: 0; area out of bounds: 3; ratio wrong: 26; screen edge: 22; passed: 92
2023-03-09 20:20:08,366	select_tracks  	 815	DEBUG   	38676:	Resetting df
2023-03-09 20:20:08,407	save_df_to_csv 	1375	DEBUG   	38676:	Selected results saved to: D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_selected_data.csv
2023-03-09 20:20:08,408	evaluate_tracks	 881	DEBUG   	38676:	Calculating x_delta, y_delta, t_delta, travelled_dist
2023-03-09 20:20:08,416	evaluate_tracks	 907	DEBUG   	38676:	Starting with statistical calculations per track
2023-03-09 20:20:10,878	angle_distribut	  89	DEBUG   	38676:	Saving figure D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_angle_histogram.png
2023-03-09 20:20:11,075	save_df_to_csv 	1375	DEBUG   	38676:	Selected results saved to: D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_statistics.csv
2023-03-09 20:20:11,078	evaluate_tracks	1113	INFO    	38676:	Nonmotile: 100.00%, twitching: 0.00%, motile: 0.00%
2023-03-09 20:20:11,079	evaluate_tracks	1118	DEBUG   	38676:	Time duration of selected tracks min: 0.100, max: 1.280, Quantiles (25/50/75%): 0.635, 1.080, 1.280
2023-03-09 20:20:11,234	save_df_to_csv 	1375	DEBUG   	38676:	Selected results saved to: D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_fortracks.csv
2023-03-09 20:20:11,962	large_xy_plot  	 187	DEBUG   	38676:	Saving figure D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_Bac_Run_Overview.png
2023-03-09 20:20:12,654	rose_graph     	 256	DEBUG   	38676:	Saving figure D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_rose_graph.png
2023-03-09 20:20:12,906	violin_plot    	 364	DEBUG   	38676:	Saving figure D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_turning_points.png
2023-03-09 20:20:13,152	violin_plot    	 364	DEBUG   	38676:	Saving figure D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_distance.png
2023-03-09 20:20:13,382	violin_plot    	 364	DEBUG   	38676:	Saving figure D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_speed.png
2023-03-09 20:20:13,624	violin_plot    	 364	DEBUG   	38676:	Saving figure D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_time_plot.png
2023-03-09 20:20:13,875	violin_plot    	 364	DEBUG   	38676:	Saving figure D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_displacement.png
2023-03-09 20:20:14,096	violin_plot    	 364	DEBUG   	38676:	Saving figure D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_perc_motile.png
2023-03-09 20:20:14,339	violin_plot    	 364	DEBUG   	38676:	Saving figure D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_arc-chord_ratio.png
2023-03-09 20:20:14,415	save_df_to_csv 	1375	DEBUG   	38676:	Selected results saved to: D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_analysed.csv
2023-03-09 20:20:15,047	annotate_video 	1378	DEBUG   	38676:	Frames from file SIM+.avi read.
2023-03-09 20:20:15,049	annotate_video 	1433	DEBUG   	38676:	Output video file: D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_annotated_output.mp4
